Role,Pets,Departure Time
Nueva Teacher,0,6:50:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Parent or Guardian of Nueva student,2,7:45:00 AM
Parent or Guardian of Nueva student,1,7:40:00 AM
Parent or Guardian of Nueva student,0,
Nueva Teacher,0,7:00:00 AM
Parent or Guardian of Nueva student,1,7:30:00 AM
Parent or Guardian of Nueva student,6,7:15:00 AM
Parent or Guardian of Nueva student,0,7:50:00 AM
Parent or Guardian of Nueva student,0,7:50:00 AM
Nueva Teacher,1,7:00:00 AM
Parent or Guardian of Nueva student,1,7:00:00 AM
Nueva alumni,2,
Nueva Teacher,0,7:45:00 AM
Parent or Guardian of Nueva student,0,7:35:00 AM
Nueva Teacher,0,7:30:00 AM
Parent or Guardian of Nueva student,2,7:50:00 AM
Parent or Guardian of Nueva student,0,7:30:00 AM
Nueva Teacher,1,7:30:00 AM
Parent or Guardian of Nueva student,0,7:25:00 AM
Parent or Guardian of Nueva student,0,7:10:00 AM
Parent or Guardian of Nueva student,2,7:50:00 AM
Parent or Guardian of Nueva student,0,7:50:00 AM
Parent or Guardian of Nueva student,3,7:50:00 AM
Nueva Teacher,1,8:30:00 AM
Parent or Guardian of Nueva student,1,7:50:00 AM
Parent or Guardian of Nueva student,0,
Parent or Guardian of Nueva student,2,
Parent or Guardian of Nueva student,0,7:55:00 AM
Parent or Guardian of Nueva student,1,7:45:00 AM
Parent or Guardian of Nueva student,0,
Parent or Guardian of Nueva student,1,7:05:00 AM
Parent or Guardian of Nueva student,0,7:40:00 AM
Parent or Guardian of Nueva student,0,7:10:00 AM
Nueva Teacher,0,7:30:00 AM
Parent or Guardian of Nueva student,0,
Parent or Guardian of Nueva student,1,7:50:00 AM
Parent or Guardian of Nueva student,0,
Parent or Guardian of Nueva student,2,7:40:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Parent or Guardian of Nueva student,4,7:50:00 AM
Nueva Teacher,,7:10:00 AM
Nueva alumni,0,
Parent or Guardian of Nueva student,1,
Parent or Guardian of Nueva student,205,7:55:00 AM
Parent or Guardian of Nueva student,3,
Parent or Guardian of Nueva student,0,7:30:00 AM
Nueva Teacher,1,7:05:00 AM
Parent or Guardian of Nueva student,0,7:55:00 AM
Nueva Teacher,1,7:00:00 AM
Parent or Guardian of Nueva student,1,7:55:00 AM
Parent or Guardian of Nueva student,0,
Parent or Guardian of Nueva student,0,7:50:00 AM
Parent or Guardian of Nueva student,1,8:00:00 AM
Parent or Guardian of Nueva student,1,8:00:00 AM
Parent or Guardian of Nueva student,2,7:50:00 AM
Nueva Teacher,2,7:00:00 AM
Nueva Teacher,2,6:45:00 AM
Parent or Guardian of Nueva student,2,7:45:00 AM
Nueva Teacher,2,7:00:00 AM
Parent or Guardian of Nueva student,2,8:05:00 AM
Grandparent,0,
Nueva Teacher,3,7:00:00 AM
Parent or Guardian of Nueva student,0,
Parent or Guardian of Nueva student,3,7:30:00 AM
Parent or Guardian of Nueva student,1,7:55:00 AM
Parent or Guardian of Nueva student,0,7:40:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Parent or Guardian of Nueva student,0,7:40:00 AM
Parent or Guardian of Nueva student,1,8:00:00 AM
Parent or Guardian of Nueva student,3,
Nueva Teacher,0,6:00:00 AM
Parent or Guardian of Nueva student,0,7:00:00 AM
Nueva Employee (not a teacher),0,8:00:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Nueva Teacher,0,7:10:00 AM
Nueva Teacher,2,7:25:00 AM
Parent or Guardian of Nueva student,0,7:55:00 AM
Parent or Guardian of Nueva student,1,
Parent or Guardian of Nueva student,0,7:45:00 AM
Parent or Guardian of Nueva student,2,8:00:00 AM
Parent or Guardian of Nueva student,0,
Parent or Guardian of Nueva student,1,7:50:00 AM
Parent or Guardian of Nueva student,0,7:45:00 AM
Parent or Guardian of Nueva student,1,7:55:00 AM
Nueva Teacher,26,7:20:00 AM
Parent or Guardian of Nueva student,2,7:45:00 AM
Parent or Guardian of Nueva student,0,7:45:00 AM
Parent or Guardian of Nueva student,0,7:15:00 AM
Grandparent,0,
Nueva Teacher,5,7:00:00 AM
Nueva Teacher,2,7:30:00 AM
Parent or Guardian of Nueva student,0,7:50:00 AM
Nueva Teacher,2,7:15:00 AM
Nueva Teacher,0,6:45:00 AM
grandparent,0,
Parent or Guardian of Nueva student,1,7:50:00 AM
Parent or Guardian of Nueva student,0,7:30:00 AM
Grandparent of Nueva student,1,
Parent or Guardian of Nueva student,0,7:30:00 AM
Parent or Guardian of Nueva student,2,7:50:00 AM
Nueva Teacher,0,7:10:00 AM
Parent or Guardian of Nueva student,1,7:05:00 AM
Parent or Guardian of Nueva student,0,7:30:00 AM
Principal,0,7:00:00 AM
Nueva Teacher,1,7:00:00 AM
Parent or Guardian of Nueva student,0,7:30:00 AM
Parent or Guardian of Nueva student,0,7:30:00 AM
Parent or Guardian of Nueva student,0,7:10:00 AM
Parent or Guardian of Nueva student,0,7:30:00 AM
Parent or Guardian of Nueva student,1,
Parent or Guardian of Nueva student,,8:05:00 AM
Parent or Guardian of Nueva student,3,7:35:00 AM
Parent or Guardian of Nueva student,3,6:00:00 AM
Tutor,0,10:30:00 AM
Parent or Guardian of Nueva student,0,
Parent or Guardian of Nueva student,2,7:45:00 AM
Nueva Teacher,2,7:30:00 AM
Parent or Guardian of Nueva student,0,8:05:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Nueva Teacher,2,6:45:00 AM
Parent or Guardian of Nueva student,1,7:40:00 AM
Parent or Guardian of Nueva student,2,7:50:00 AM
Nueva Teacher,1,7:00:00 AM
Nueva Teacher,2,7:20:00 AM
Parent or Guardian of Nueva student,0,7:40:00 AM
Parent or Guardian of Nueva student,2,7:45:00 AM
Parent or Guardian of Nueva student,10,7:45:00 AM
Parent or Guardian of Nueva student,1,8:00:00 AM
Parent or Guardian of Nueva student,1,7:55:00 AM
Nueva Teacher,1,7:00:00 AM
Parent or Guardian of Nueva student,2,8:00:00 AM
Nueva Teacher,2,7:00:00 AM
Parent or Guardian of Nueva student,0,7:40:00 AM
Nueva Teacher,2,7:30:00 AM
Parent or Guardian of Nueva student,2,
Parent or Guardian of Nueva student,3,7:30:00 AM
Parent or Guardian of Nueva student,1,7:45:00 AM
Nueva Teacher,0,7:25:00 AM
Parent or Guardian of Nueva student,0,7:25:00 AM
Parent or Guardian of Nueva student,10,7:40:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Parent or Guardian of Nueva student,2,7:00:00 AM
Parent or Guardian of Nueva student,0,7:45:00 AM
Parent or Guardian of Nueva student,205,7:55:00 AM
Nueva Teacher,2,7:15:00 AM
Parent or Guardian of Nueva student,0,7:30:00 AM
Parent or Guardian of Nueva student,0,7:35:00 AM
Parent or Guardian of Nueva student,1,7:25:00 AM
Nueva Teacher,1,6:55:00 AM
Nueva Employee (not a teacher),0,10:00:00 AM
Parent or Guardian of Nueva student,2,7:50:00 AM
Parent or Guardian of Nueva student,0,8:00:00 AM
Parent or Guardian of Nueva student,1,8:10:00 AM
Parent or Guardian of Nueva student,1,8:10:00 AM
Parent or Guardian of Nueva student,0,7:15:00 AM
Parent or Guardian of Nueva student,2,7:40:00 AM
Parent or Guardian of Nueva student,1,8:55:00 AM
Nueva Teacher,2,6:45:00 AM
Parent or Guardian of Nueva student,1,7:50:00 AM
Parent or Guardian of Nueva student,0,
Nueva Teacher,0,8:30:00 AM
Parent or Guardian of Nueva student,2,7:30:00 AM
Parent or Guardian of Nueva student,2,7:00:00 AM